Ano,Mes,Hora,Normal,HorarioEconomico,Autoconsumo,Injecao,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,hora_sin,hora_cos,autoconsumo_ratio,total_consumo
2021,9,0.0,0.0,0.0,0.0,3,13.97,13.54,11.45,14.04,1027,81,1.96,0.0,87,0.0,1.0,0.0,0.0
2021,9,1.0,0.0,0.0,0.0,3,13.48,13.02,13.43,13.9,1028,82,1.83,0.0,91,0.25881904510252074,0.9659258262890683,0.0,0.0
2021,9,2.0,0.0,0.0,0.0,3,12.93,12.47,12.72,13.43,1027,84,1.96,0.0,93,0.49999999999999994,0.8660254037844387,0.0,0.0
2021,9,3.0,0.0,0.0,0.0,3,12.61,12.15,10.34,12.93,1027,85,1.85,0.0,95,0.7071067811865476,0.7071067811865476,0.0,0.0
2021,9,4.0,0.0,0.0,0.0,3,12.61,12.17,9.79,12.93,1027,86,1.83,0.0,93,0.8660254037844386,0.5000000000000001,0.0,0.0
2021,9,5.0,0.0,0.0,0.0,3,12.62,12.16,11.72,12.93,1028,85,2.04,0.0,90,0.9659258262890683,0.25881904510252074,0.0,0.0
2021,9,6.0,0.0,0.0,0.0,3,12.61,12.09,11.12,12.93,1028,83,1.98,0.0,83,1.0,6.123233995736766e-17,0.0,0.0
2021,9,7.0,0.0,0.0,0.0,3,13.27,12.69,10.34,13.48,1028,78,2.34,0.0,87,0.9659258262890683,-0.25881904510252063,0.0,0.0
2021,9,8.0,0.0,0.0,0.0,3,16.14,15.77,11.77,16.26,1029,75,2.15,0.0,65,0.8660254037844387,-0.4999999999999998,0.0,0.0
2021,9,9.0,0.0,0.0,0.0,3,18.85,18.54,15.57,19.04,1029,67,1.76,0.0,18,0.7071067811865476,-0.7071067811865475,0.0,0.0
2021,9,10.0,0.0,0.0,0.0,3,19.83,19.59,17.57,20.15,1029,66,2.09,0.0,3,0.49999999999999994,-0.8660254037844387,0.0,0.0
2021,9,11.0,0.0,0.0,0.0,3,20.71,20.53,20.57,21.77,1029,65,2.69,0.0,12,0.258819045102521,-0.9659258262890682,0.0,0.0
2021,9,12.0,0.0,0.0,0.0,3,21.76,21.66,20.72,22.23,1028,64,2.86,0.0,25,1.2246467991473532e-16,-1.0,0.0,0.0
2021,9,13.0,0.0,0.0,0.0,3,22.82,22.75,19.72,24.54,1028,61,2.78,0.0,26,-0.2588190451025208,-0.9659258262890683,0.0,0.0
2021,9,14.0,0.0,0.0,0.0,3,23.34,23.32,20.72,23.48,1027,61,2.71,0.0,31,-0.4999999999999997,-0.8660254037844388,0.0,0.0
2021,9,15.0,0.215,0.0,0.0,3,23.83,23.81,20.72,24.04,1027,59,2.95,0.0,44,-0.7071067811865471,-0.7071067811865479,0.0,0.215
2021,9,16.0,0.433,0.0,0.149,1,23.8,23.75,20.72,24.04,1026,58,3.36,0.0,25,-0.8660254037844385,-0.5000000000000004,0.3441100597920097,0.582
2021,9,17.0,0.292,0.0,0.315,1,22.99,22.94,19.72,23.48,1026,61,3.22,0.0,21,-0.9659258262890683,-0.25881904510252063,1.0787634288923669,0.607
2021,9,18.0,0.522,0.0,0.06,3,21.51,21.41,19.55,21.82,1026,65,3.44,0.0,10,-1.0,-1.8369701987210297e-16,0.1149423085396388,0.5820000000000001
2021,9,19.0,0.581,0.0,0.0,3,20.19,20.07,16.72,20.7,1027,69,3.21,0.0,2,-0.9659258262890684,0.2588190451025203,0.0,0.581
2021,9,20.0,0.506,0.0,0.0,3,19.09,18.93,15.72,19.59,1027,72,2.98,0.0,10,-0.8660254037844386,0.5000000000000001,0.0,0.506
2021,9,21.0,0.534,0.0,0.0,3,18.25,18.06,14.72,18.48,1027,74,2.8,0.0,11,-0.7071067811865477,0.7071067811865474,0.0,0.534
2021,9,22.0,0.726,0.0,0.0,3,17.74,17.63,14.72,17.93,1027,79,2.47,0.0,16,-0.5000000000000004,0.8660254037844384,0.0,0.726
2021,9,23.0,0.662,0.0,0.0,3,17.96,17.69,13.72,18.48,1027,72,2.4,0.0,5,-0.25881904510252157,0.9659258262890681,0.0,0.662
2021,9,0.0,0.704,0.0,0.0,3,13.97,13.69,12.72,15.66,1027,87,2.07,0.0,39,0.0,1.0,0.0,0.704
2021,9,1.0,0.466,0.0,0.0,3,17.34,16.98,12.72,17.93,1026,71,1.93,0.0,88,0.25881904510252074,0.9659258262890683,0.0,0.466
2021,9,2.0,0.356,0.0,0.0,3,13.73,13.46,12.57,15.1,1026,88,1.81,0.0,98,0.49999999999999994,0.8660254037844387,0.0,0.356
2021,9,3.0,0.355,0.0,0.0,3,12.92,12.62,11.72,14.54,1025,90,1.78,0.0,73,0.7071067811865476,0.7071067811865476,0.0,0.355
2021,9,4.0,0.346,0.0,0.0,3,12.88,12.6,11.72,14.54,1025,91,1.77,0.0,42,0.8660254037844386,0.5000000000000001,0.0,0.346
2021,9,5.0,0.351,0.0,0.0,3,17.16,16.84,10.72,17.37,1025,73,1.83,0.0,28,0.9659258262890683,0.25881904510252074,0.0,0.351
2021,9,6.0,0.454,0.0,0.0,3,11.58,11.17,10.72,13.43,1025,91,1.81,0.0,40,1.0,6.123233995736766e-17,0.0,0.454
2021,9,7.0,0.372,0.0,0.002,3,11.67,11.24,10.72,15.11,1026,90,1.71,0.0,2,0.9659258262890683,-0.25881904510252063,0.005376329633522491,0.374
2021,9,8.0,0.366,0.0,0.228,2,19.4,19.07,14.54,19.59,1026,64,1.86,0.0,0,0.8660254037844387,-0.4999999999999998,0.6229491176253618,0.594
2021,9,9.0,0.0,0.0,0.268,0,20.63,20.37,18.34,20.7,1026,62,1.03,0.0,25,0.7071067811865476,-0.7071067811865475,268000.0,0.268
2021,9,10.0,0.0,0.0,0.268,0,22.31,22.22,19.72,22.88,1026,62,0.73,0.0,84,0.49999999999999994,-0.8660254037844387,268000.0,0.268
2021,9,11.0,0.0,0.0,0.278,4,22.94,22.91,22.79,23.99,1026,62,0.48,0.0,30,0.258819045102521,-0.9659258262890682,278000.00000000006,0.278
2021,9,12.0,0.026,0.0,0.352,4,24.49,24.4,20.72,24.59,1025,54,0.62,0.0,65,1.2246467991473532e-16,-1.0,13.537940848428907,0.378
2021,9,13.0,0.003,0.0,0.378,0,24.9,24.91,19.72,25.57,1024,56,1.21,0.0,89,-0.2588190451025208,-0.9659258262890683,125.95801399533488,0.381
2021,9,14.0,0.0,0.0,0.45,0,26.2,26.2,23.44,26.26,1024,51,2.17,0.0,24,-0.4999999999999997,-0.8660254037844388,450000.00000000006,0.45
2021,9,15.0,0.0,0.0,0.42,0,26.48,26.48,21.72,26.82,1023,49,3.05,0.0,19,-0.7071067811865471,-0.7071067811865479,420000.0,0.42
2021,9,16.0,0.054,0.0,0.35,0,25.84,25.81,19.72,26.26,1023,51,3.27,0.0,0,-0.8660254037844385,-0.5000000000000004,6.481361456269328,0.40399999999999997
2021,9,17.0,0.105,0.0,0.216,1,23.67,23.69,17.72,24.23,1023,61,2.81,0.0,1,-0.9659258262890683,-0.25881904510252063,2.0571232654927094,0.321
2021,9,18.0,0.419,0.0,0.032,3,22.02,22.03,16.72,23.12,1023,67,2.29,0.0,55,-1.0,-1.8369701987210297e-16,0.0763721327634063,0.45099999999999996
2021,9,19.0,0.341,0.0,0.0,3,19.9,19.9,15.72,20.9,1023,75,1.65,0.0,96,-0.9659258262890684,0.2588190451025203,0.0,0.341
2021,9,20.0,0.585,0.0,0.0,3,18.78,18.72,14.72,19.79,1023,77,1.08,0.0,98,-0.8660254037844386,0.5000000000000001,0.0,0.585
2021,9,21.0,0.523,0.0,0.0,3,18.23,18.2,14.72,18.48,1024,80,1.56,0.0,98,-0.7071067811865477,0.7071067811865474,0.0,0.523
2021,9,22.0,0.562,0.0,0.0,3,17.62,17.53,12.72,17.93,1023,80,1.32,0.0,100,-0.5000000000000004,0.8660254037844384,0.0,0.562
2021,9,23.0,0.599,0.0,0.0,3,17.67,17.63,13.72,17.93,1023,82,2.06,0.0,100,-0.25881904510252157,0.9659258262890681,0.0,0.599
2021,10,0.0,0.611,0.0,0.0,3,16.63,16.57,13.72,16.82,1023,85,1.23,0.0,99,0.0,1.0,0.0,0.611
2021,10,1.0,0.557,0.0,0.0,3,16.05,15.96,12.72,16.26,1023,86,1.87,0.0,92,0.25881904510252074,0.9659258262890683,0.0,0.557
2021,10,2.0,0.446,0.0,0.0,3,16.15,16.04,12.72,16.26,1022,85,1.49,0.0,93,0.49999999999999994,0.8660254037844387,0.0,0.446
2021,10,3.0,0.336,0.0,0.0,3,16.14,16.11,12.72,16.26,1022,88,1.5,0.0,14,0.7071067811865476,0.7071067811865476,0.0,0.336
2021,10,4.0,0.306,0.0,0.0,3,15.07,14.96,12.72,15.15,1022,89,1.1,0.0,60,0.8660254037844386,0.5000000000000001,0.0,0.306
2021,10,5.0,0.268,0.0,0.0,3,15.6,15.57,12.72,15.7,1022,90,1.35,0.0,86,0.9659258262890683,0.25881904510252074,0.0,0.268
2021,10,6.0,0.279,0.0,0.0,3,15.44,15.36,11.72,15.7,1022,89,1.24,0.0,92,1.0,6.123233995736766e-17,0.0,0.279
2021,10,7.0,0.281,0.0,0.0,3,14.97,14.9,12.72,15.15,1022,91,1.06,0.0,98,0.9659258262890683,-0.25881904510252063,0.0,0.281
2021,10,8.0,0.585,0.0,0.047,3,15.63,15.62,13.72,15.7,1023,91,1.18,0.0,99,0.8660254037844387,-0.4999999999999998,0.08034174300556751,0.632
2021,10,9.0,0.064,0.0,0.187,1,15.71,15.56,15.66,16.78,1023,85,1.24,0.0,94,0.7071067811865476,-0.7071067811865475,2.921829346416462,0.251
2021,10,10.0,0.005,0.0,0.248,0,18.84,18.74,17.79,20.11,1023,75,2.09,0.0,98,0.49999999999999994,-0.8660254037844387,49.59008198360328,0.253
2021,10,11.0,0.0,0.0,0.258,4,20.39,20.23,19.72,21.77,1023,67,2.19,0.0,100,0.258819045102521,-0.9659258262890682,258000.00000000003,0.258
2021,10,12.0,0.0,0.0,0.262,4,21.2,21.07,19.72,22.57,1023,65,2.66,0.0,78,1.2246467991473532e-16,-1.0,262000.00000000003,0.262
2021,10,13.0,0.025,0.0,0.329,4,22.24,22.03,19.72,23.68,1023,58,2.66,0.0,77,-0.2588190451025208,-0.9659258262890683,13.159473621055158,0.35400000000000004
2021,10,14.0,0.014,0.0,0.34,0,23.28,23.23,19.72,25.34,1022,60,2.66,0.0,97,-0.4999999999999997,-0.8660254037844388,24.283979715734592,0.35400000000000004
2021,10,15.0,0.02,0.0,0.373,0,23.77,23.82,19.72,24.04,1022,62,3.46,0.0,100,-0.7071067811865471,-0.7071067811865479,18.649067546622668,0.393
2021,10,16.0,0.052,0.0,0.376,2,23.19,23.42,18.72,23.48,1022,71,3.44,0.0,100,-0.8660254037844385,-0.5000000000000004,7.230630180188843,0.428
2021,10,17.0,0.189,0.0,0.267,1,21.63,21.86,18.72,22.01,1021,77,3.05,0.0,100,-0.9659258262890683,-0.25881904510252063,1.4126909381431845,0.456
